ID,Latitude,Longitude,VH,VV,date,.geo
725,7.0709,40.202,-16.05446777469026,-12.768311018462487,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.202031775710104,7.070878352547689]}"
726,7.071,40.203,-14.181374530467412,-14.18003492543802,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.20302785647484,7.07096622124057]}"
727,7.0713,40.187,-21.49461314898504,-17.27958154496829,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.18700442193458,7.071278646371731]}"
728,7.1128,40.221,-17.748586205374313,-15.450633564577531,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.220972801563185,7.112792903512174]}"
729,7.1128,40.221,-17.748586205374313,-15.450633564577531,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.220972801563185,7.112792903512174]}"
730,7.1129,40.221,-17.13757630717569,-15.995687916714312,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.22097304050426,7.112883342047245]}"
731,7.1153,40.226,-16.86498202998245,-12.43322512942385,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.22595916542616,7.115312023797475]}"
732,7.1154,40.226,-15.401277315538575,-14.639552388464312,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.225959405428746,7.115402462153543]}"
733,7.1154,40.227,-18.691200523137997,-11.276940286139986,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.22695533895612,7.115399823984613]}"
734,7.1156,40.226,-19.32975938845854,-10.887396866123185,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.225959885443295,7.115583338864599]}"
735,7.116,40.226,-16.550577107739667,-10.730142639185274,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.22596108553443,7.116035530635929]}"
736,7.116,40.227,-17.94330768053581,-11.994047610407872,2017-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[40.22695702042584,7.116032892229941]}"
94,10.485,36.857,-15.776962660554126,-15.14728980354363,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.85697651014022,10.484980838701619]}"
95,10.501,36.868,-14.865793629267388,-10.324889560367785,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.868027232759914,10.50100109661195]}"
96,10.517,36.874,-19.18619001144141,-11.661264877715654,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.87397191912427,10.516992815491781]}"
97,10.555,36.909,-16.842583615720798,-13.87173279494798,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.90901472294076,10.555006653363135]}"
99,10.585,36.904,-17.79032908302526,-6.722895728972576,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.90401350502963,10.585030068333115]}"
101,10.605,36.905,-14.491551823106049,-8.012058665028599,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.90499606919797,10.604962100262112]}"
103,10.625,36.921,-16.033181162114676,-10.564995698095474,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.92103236183952,10.62497696167903]}"
105,10.652,36.953,-17.051754423710065,-6.990398308771837,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.95303510654262,10.652008284370627]}"
106,10.656,36.992,-19.779056416104016,-8.243288403551228,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.992041315281355,10.656024816939803]}"
107,10.658,36.97,-15.637206180015797,-6.266353904086507,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.96999025423466,10.658020052999207]}"
109,10.677,37.019,-13.218106877125704,-9.065903256756348,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.01895432196238,10.676975216696768]}"
432,11.192,36.859,-16.481476002085902,-13.57220109730332,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.85901611904951,11.191968153884963]}"
433,11.343,36.936,-16.791245054854592,-8.549689240654919,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.936021729003265,11.343017349717945]}"
434,11.363,36.97,-21.788956648701458,-14.183136303654056,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.97004038444537,11.362954507082081]}"
435,11.366,37.032,-18.96796075653236,-10.116633734226747,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.031991333466046,11.365991984947057]}"
845,8.7717,36.494,-17.651407431393874,-8.679607101141952,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.4940015871304,8.771667333368049]}"
846,8.8176,36.481,-18.42214827943842,-7.510207573346378,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.48099787353865,8.817565481001566]}"
847,8.8413,36.482,-13.188153880964745,-8.056100698401385,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.48203772909506,8.841302512767733]}"
848,8.8642,36.477,-19.368643022788472,-10.27950520502698,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.47698768593743,8.864193316949345]}"
849,8.9428,36.482,-18.713075641229352,-8.370612995774362,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.48199886742336,8.942790368782397]}"
850,8.9614,36.5,-16.389684415594,-9.336270911473072,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.49997464301402,8.961401087043095]}"
851,8.9617,36.485,-20.189863972994107,-12.826476961516311,2017-10-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.48499426840436,8.961723274421507]}"
230,14.074,39.571,-23.06891665546184,-15.502244556164769,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.57102467960593,14.073978014767631]}"
231,14.166,39.56,-17.392580060082135,-12.852835166073875,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.56004160452267,14.165956051471852]}"
232,14.217,39.524,-19.919328877135317,-14.304378917556502,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.52402013236388,14.217031593598984]}"
233,14.228,39.503,-17.385395803929832,-16.869511174220946,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.50300496131977,14.228016961048416]}"
226,13.816,39.553,-13.445088049733249,-10.330016169044502,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55303656085498,13.815998593225705]}"
227,13.855,39.605,-18.645053714602483,-14.75636817163327,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.60504289633729,13.855026363108234]}"
228,13.934,39.596,-23.457595304978675,-17.151523935897693,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.5959909293514,13.933982076584511]}"
229,13.958,39.597,-24.227713548784383,-14.882992889919375,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.5969784545903,13.958030315916595]}"
294,13.939,39.597,-18.823294182560524,-12.808471755819934,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59702219932513,13.939042851409614]}"
295,13.995,39.467,-19.866885807228673,-14.000801065672752,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.46697790417119,13.995024166108097]}"
296,14.008,39.53,-16.428808082395342,-8.375276829405225,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.52997251966564,14.008005136872216]}"
297,14.011,39.536,-17.628182038434105,-10.842517645714874,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.53599841892878,14.010975628615876]}"
298,14.028,39.596,-16.034785203222008,-13.985298908377104,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59595515962952,14.028014557962074]}"
