,ID,Latitude,Longitude,date,.geo,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0,10.937,38.103,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.093724996,0.15195,0.089509375,0.0779,0.0855,0.071,0.107962504,0.221165625,0.26922813,0.29215,0.29239063,0.10678125
1,0,10.937,38.103,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.234616675,0.32945626,0.2320125,0.3023,0.29405,0.28565,0.2847375,0.336915615,0.35100938,0.4155,0.35292188,0.170375005
2,0,10.937,38.103,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.10781042,0.0719375055,0.035634375,0.0848,0.0748,0.0532,0.070440625,0.13212812000000002,0.158775005,0.1569,0.16245625,0.052430211500000004
3,0,10.937,38.103,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.0882197925,0.14976875,0.086475,0.0738,0.0776,0.0611,0.10743125,0.2272,0.26459374999999996,0.2935,0.28928438,0.108490628
4,0,10.937,38.103,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.193570825,0.26398438,0.177103125,0.24380000000000002,0.21989999999999998,0.20345000000000002,0.23679063,0.30324374,0.32601563499999997,0.35245000000000004,0.33946874000000005,0.13867499500000002
5,0,10.937,38.103,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.092875004,0.15455937,0.0877593725,0.076,0.0824,0.0668,0.1122187525,0.209534375,0.24619687499999998,0.2688,0.277978125,0.09883750250000001
6,0,10.937,38.103,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.10301125037901,10.936963070481443]}",0.08634375,0.045787499999999995,0.0274812495,0.0635,0.0514,0.0392,0.0487218765,0.07678437499999999,0.0869875,0.0874,0.09204375,0.0357645845
7,1,10.938,38.053,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.05304469707236,10.937987883025103]}",0.09271875,0.147125,0.073024996,0.0736,0.0813,0.0502,0.09964375,0.25034374,0.30848125,0.3487,0.32345626,0.1112125
8,1,10.938,38.053,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.05304469707236,10.937987883025103]}",0.108725004,0.16903125,0.086125,0.0894,0.1048,0.0813,0.1211875,0.26445624,0.3303625,0.3562,0.348,0.10885
9,1,10.938,38.053,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.05304469707236,10.937987883025103]}",0.1034,0.15831876,0.0768875,0.0854,0.1052,0.0826,0.119,0.25245625,0.29515,0.3285,0.3299125,0.0829
10,1,10.938,38.053,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.05304469707236,10.937987883025103]}",0.089575,0.15050624,0.07694375,0.0707,0.0879,0.068,0.11574375,0.233925,0.27120623,0.2841,0.287125,0.1157
11,1,10.938,38.053,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.05304469707236,10.937987883025103]}",0.0949375,0.16404375,0.09175625,0.0736,0.0779,0.0691,0.1129125,0.187675,0.21566875,0.2232,0.24454376,0.09968125
12,2,10.956,38.026,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.09251667,0.13979375,0.07251875,0.0742,0.0804,0.0566,0.098837495,0.21249375,0.25030002,0.2592,0.27330625,0.10811528
13,2,10.956,38.026,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.1026125,0.14884375,0.07433125,0.0824,0.0864,0.0655,0.10613125,0.20635,0.24264374,0.2537,0.28126875,0.08822569
14,2,10.956,38.026,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.10285,0.14930625,0.073068745,0.0834,0.0881,0.0712,0.11348125,0.20761874,0.24477501,0.2293,0.27470624,0.086739585
15,2,10.956,38.026,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.09158611,0.1567125,0.07910625,0.0735,0.0843,0.0678,0.114737496,0.21381876,0.24539375,0.2498,0.26896876,0.116689585
16,2,10.956,38.026,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.105809025,0.17469375,0.08974375,0.0871,0.0955,0.0823,0.1323875,0.21351875,0.24847502,0.2514,0.28379375,0.1138882
17,2,10.956,38.026,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.09765556,0.18915,0.107156254,0.0852,0.0928,0.0914,0.13429375,0.19916251,0.22386876,0.2212,0.2576625,0.10006458
18,2,10.956,38.026,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.10822986,0.217875,0.1307125,0.0959,0.1029,0.1145,0.15381876,0.2088375,0.23397501,0.2316,0.2695,0.11337153
19,2,10.956,38.026,2017-11-28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.025991248910394,10.955988471192219]}",0.11515971,0.2541125,0.1526,0.1058,0.1168,0.1309,0.1659375,0.22625,0.2583,0.2644,0.29398125,0.101261154
20,3,10.96,37.993,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.09126875,0.1285875,0.061275,0.0692,0.0673,0.0458,0.0745,0.1847,0.24005,0.2623,0.27261874,0.11011458
21,3,10.96,37.993,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.10235208,0.14445625,0.0710625,0.0811,0.0794,0.0593,0.0859375,0.1908,0.24301875,0.24,0.27233127,0.096149996
22,3,10.96,37.993,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.102806255,0.14401875,0.0727125,0.0863,0.0836,0.0679,0.0976625,0.18029375,0.21469375,0.2162,0.23965,0.07756458
23,3,10.96,37.993,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.09188125,0.14816874,0.08530625,0.0796,0.0773,0.0737,0.09215,0.1541875,0.1773375,0.1745,0.196375,0.08656667
24,3,10.96,37.993,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.19923541,0.20666875,0.15093124,0.149,0.1443,0.135,0.1616,0.22378126,0.25970626,0.2188,0.287925,0.1043875
25,3,10.96,37.993,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.1362375,0.21608125,0.123500004,0.1493,0.1415,0.1271,0.15763125,0.24325,0.2750125,0.2908,0.29995626,0.117045835
26,3,10.96,37.993,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.09277917,0.1614625,0.08553125,0.0733,0.0711,0.0601,0.0854,0.16384375,0.19524375,0.1898,0.2173125,0.08635
27,3,10.96,37.993,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.09950833,0.18624376,0.10659375,0.0791,0.077,0.0676,0.09686875,0.1759875,0.21063125,0.2111,0.23824376,0.10622292
28,3,10.96,37.993,2017-11-28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.993033220614635,10.96004111351759]}",0.10681042,0.22058125,0.1235875,0.086,0.0845,0.0766,0.10636875,0.1999875,0.240275,0.2399,0.2735125,0.092693746
29,4,10.972,37.967,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.09618125,0.13106875,0.07681875,0.0712,0.0695,0.0559,0.088481255,0.1789625,0.21566875,0.2083,0.23689374,0.09844583
30,4,10.972,37.967,2017-10-09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.25792083,0.30318126,0.24642499,0.2494,0.2353,0.2335,0.26130626,0.33884373,0.373125,0.3587,0.3925625,0.16983542
31,4,10.972,37.967,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.10473333,0.13091874,0.0772625,0.0773,0.0717,0.0597,0.0898,0.17166251,0.20831876,0.2055,0.23329374,0.086725004
32,4,10.972,37.967,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.103525,0.13185625,0.07615,0.0744,0.0706,0.0578,0.088325,0.167925,0.20915,0.2031,0.22784375,0.079245836
33,4,10.972,37.967,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.09497708,0.1238375,0.07378125,0.0652,0.0616,0.0514,0.078412496,0.16194999,0.19626875,0.1935,0.2173875,0.09798125
34,4,10.972,37.967,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.23478541,0.28423125,0.19925,0.2038,0.2012,0.1949,0.2341,0.32256252,0.366125,0.358,0.3969,0.16725416
35,4,10.972,37.967,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.10522083,0.1157625,0.06426875,0.0746,0.0655,0.0544,0.082893744,0.1610125,0.19520625,0.1948,0.22115625,0.0951
36,4,10.972,37.967,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.09830417,0.13285,0.0785125,0.0685,0.0641,0.0573,0.08494375,0.15936251,0.1931125,0.1958,0.2147125,0.084425
37,4,10.972,37.967,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.1048375,0.13415,0.083093755,0.0746,0.0673,0.0605,0.0907125,0.15921876,0.19381875,0.1951,0.2117125,0.10167708
38,4,10.972,37.967,2017-11-28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.9670022286284,10.9719807745552]}",0.08942291,0.02601875,0.01565625,0.0673,0.0441,0.0292,0.0340125,0.04923125,0.056725003,0.0612,0.05876875,0.017354166
39,5,11.012,37.939,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.09198333,0.14104375,0.07015,0.073,0.0797,0.0523,0.09783125,0.21734375,0.2668375,0.2713,0.29451874,0.11670278
40,5,11.012,37.939,2017-10-09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.21334375,0.28845623,0.20070626,0.2115,0.2066,0.1928,0.22483125,0.335725,0.3822,0.383,0.40734375,0.16233402
41,5,11.012,37.939,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.10298333,0.17300001,0.08270625,0.0877,0.102,0.0697,0.12646875,0.26349998,0.31351876,0.3239,0.34960625,0.10819375
42,5,11.012,37.939,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.10404236,0.2019125,0.0976625,0.0936,0.1171,0.0886,0.15676875,0.28549376,0.3343125,0.3478,0.37969375,0.10709097
43,5,11.012,37.939,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.09476736,0.1887125,0.0964375,0.0923,0.1167,0.0976,0.16149999,0.28111875,0.32508126,0.3439,0.36116874,0.13073125
44,5,11.012,37.939,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.11864583,0.088293746,0.042475,0.092,0.0896,0.0709,0.10259375,0.15109375,0.17848125,0.172,0.1986625,0.05414861
45,5,11.012,37.939,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.107150696,0.20386249,0.1062,0.1022,0.1245,0.1184,0.17289999,0.26711252,0.3033875,0.3187,0.347975,0.12062292
46,5,11.012,37.939,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.09994444,0.21738125,0.116987504,0.0978,0.1188,0.1189,0.17334375,0.25323126,0.2895875,0.2999,0.32918125,0.10968194
47,5,11.012,37.939,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.10589236,0.22705625,0.13140625,0.1025,0.1235,0.1327,0.17296875,0.23692499,0.2708,0.2917,0.3073625,0.12029028
48,5,11.012,37.939,2017-11-28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.93903839924101,11.012033647765888]}",0.109604165,0.24098751,0.14675625,0.1067,0.1269,0.1424,0.17469375,0.24106249,0.27501875,0.2845,0.314975,0.09731389
49,6,11.026,37.909,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.094686806,0.1528375,0.078193754,0.076,0.0782,0.0522,0.093375005,0.23548749,0.29459375,0.3221,0.32344374,0.121168055
50,6,11.026,37.909,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.10562292,0.16214375,0.087531246,0.0869,0.0853,0.0648,0.10526875,0.2246125,0.27780625,0.2841,0.3033,0.10146041
51,6,11.026,37.909,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.11940277,0.19361874,0.10454375,0.1028,0.1087,0.086,0.12728125,0.2372625,0.28738126,0.2905,0.3158875,0.09413611
52,6,11.026,37.909,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.09586875,0.17400625,0.097449996,0.0718,0.0779,0.0614,0.10571875,0.20676251,0.24641874,0.2428,0.27523124,0.10553542
53,6,11.026,37.909,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.12348472,0.21835625,0.12593125,0.1026,0.1045,0.0976,0.1378625,0.22235624,0.26947498,0.2755,0.3081375,0.09360208
54,6,11.026,37.909,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.10889792,0.18910626,0.1123375,0.0852,0.0852,0.0809,0.1212,0.19468124,0.2254875,0.2124,0.2574125,0.09819653
55,6,11.026,37.909,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.09785,0.19398125,0.1223125,0.0836,0.0807,0.0775,0.10844375,0.16591875,0.1941625,0.1935,0.225325,0.083870135
56,6,11.026,37.909,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.90896596576984,11.026033303327772]}",0.109543055,0.2194875,0.14784999,0.0919,0.093,0.1016,0.13110624,0.17684999,0.20595625,0.1994,0.23335625,0.09423472
